ID,Fund Name,Date,Cashflow Type,Local Currency,Cashflow Amount Local,Cashflow Amount Base,Base Currency
94,Fund II,31/12/2027 00:00,Interest,EUR,4200000,4200000,EUR
95,Fund II,31/03/2028 00:00,Interest,EUR,4200000,4200000,EUR
96,Fund II,30/06/2028 00:00,Interest,EUR,4200000,4200000,EUR
97,Fund II,30/09/2028 00:00,Interest,EUR,4200000,4200000,EUR
98,Fund II,31/12/2028 00:00,Interest,EUR,4200000,4200000,EUR
99,Fund II,31/03/2029 00:00,Interest,EUR,4200000,4200000,EUR
100,Fund II,30/06/2029 00:00,Interest,EUR,4200000,4200000,EUR
101,Fund II,30/09/2029 00:00,Interest,EUR,4200000,4200000,EUR
102,Fund II,31/12/2029 00:00,Interest,EUR,4200000,4200000,EUR
103,Fund II,31/03/2030 00:00,Interest,EUR,4200000,4200000,EUR
104,Fund II,30/06/2030 00:00,Interest,EUR,4200000,4200000,EUR
105,Fund II,30/09/2030 00:00,Principal Repayment,EUR,210000000,210000000,EUR
106,Fund II,30/09/2025 00:00,Investment,USD,-280000000,-238297872,EUR
107,Fund II,31/12/2025 00:00,Interest,USD,8400000,7148936,EUR
108,Fund II,31/03/2026 00:00,Interest,USD,8400000,7148936,EUR
109,Fund II,30/06/2026 00:00,Interest,USD,8400000,7148936,EUR
110,Fund II,30/09/2026 00:00,Interest,USD,8400000,7148936,EUR
111,Fund II,31/12/2026 00:00,Interest,USD,8400000,7148936,EUR
112,Fund II,31/03/2027 00:00,Interest,USD,8400000,7148936,EUR
113,Fund II,30/06/2027 00:00,Interest,USD,8400000,7148936,EUR
114,Fund II,30/09/2027 00:00,Interest,USD,8400000,7148936,EUR
115,Fund II,31/12/2027 00:00,Interest,USD,8400000,7148936,EUR
116,Fund II,31/03/2028 00:00,Interest,USD,8400000,7148936,EUR
117,Fund II,30/06/2028 00:00,Interest,USD,8400000,7148936,EUR
118,Fund II,30/09/2028 00:00,Interest,USD,8400000,7148936,EUR
119,Fund II,31/12/2028 00:00,Interest,USD,8400000,7148936,EUR
120,Fund II,31/03/2029 00:00,Interest,USD,8400000,7148936,EUR
121,Fund II,30/06/2029 00:00,Interest,USD,8400000,7148936,EUR
122,Fund II,30/09/2029 00:00,Interest,USD,8400000,7148936,EUR
123,Fund II,31/12/2029 00:00,Interest,USD,8400000,7148936,EUR
124,Fund II,31/03/2030 00:00,Interest,USD,8400000,7148936,EUR
125,Fund II,30/06/2030 00:00,Interest,USD,8400000,7148936,EUR
126,Fund II,30/09/2030 00:00,Principal Repayment,USD,280000000,238297872,EUR
